TITLE,CODE
Cytoskeleton,LS30
Electrophoresis,CHB0
Embo Molecular Medicine,MD50
Genes To Cells,LS30
Human Cell,MD12
Journal of Cellular Biochemistry,LS34
Journal of Cellular Physiology,LS33
Journal of Extracellular Vesicles,LS30
Molecular Reproduction & Development,LS30
Molecular Systems Biology,LS30
Peptide Science,LS36
Photochemistry & Photobiology,LS30
Pigment Cell & Melanoma Research,LS32
Proteomics,LS30
Proteomics - Clinical Applications,LS30
Regeneration,LS30
Stem Cells,LS30
STEM CELLS Translational Medicine,MD52
The EMBO Journal,LS30
The EMBO Reports,LS30
Traffic,LS30
Wiley Interdisciplinary Reviews - Developmental,MD13
Wiley Interdisciplinary Reviews - RNA,LS36
Wiley Interdisciplinary Reviews - System Biology and Medicine,MD1C
Wiley Interdisciplinary Reviews: Membrane Transport and Signaling,LS30
Clinical and Experimental Neuroimmunology,MDF0
Journal of Cellular and Molecular Medicine,MD50
Asia-Pacific Journal of Chemical Engineering,CG00
Energy Technology,CG00
Journal of Advanced Manufacturing and Processing,CG00
Navigation,CE90
The Canadian Journal of Chemical Engineering,CG00
Acta Crystallographica Section A,CH19
Acta Crystallographica Section B,CH19
Acta Crystallographica Section C,CH19
Acta Crystallographica Section D,CH19
Acta Crystallographica Section E (Electronic),CH19
Acta Crystallographica Section F (Electronic),CH19
Advanced Synthesis & Catalysis (Previously: Journal Fuer Praktische Chemie),CH80
AICHE Journal,CG00
Angewandte Chemie,CH00
Angewandte Chemie International Edition,CH00
Applied Organometallic Chemistry,CH80
Archiv Der Pharmazie,CH60
Archives of Insect Biochemistry and Physiology,LS85
Asian Journal of Organic Chemistry,CH80
Berichte Zur Wissenschaftsgeschichte,CG11
Biofactors,LS36
"Biofuels, Bioproducts and Biorefining",CHC0
Biomedical Chromatography,CH11
Biopolymers,LS36
Bulletin of the Korean Chemical Society,CH00
ChemBioChem,CHB0
ChemBioEng Reviews,CG00
ChemBioEng Reviews,CH00
ChemCatChem,CH40
ChemElectroChem,CHA0
Chemical Engineering & Technology (CET),CH30
Chemie in Unserer Zeit (CHIUZ),CH00
Chemie-Ingenieur-Technik (CIT),CG00
Cheminform,CH80
Chemistry - A European Journal,CH00
Chemistry - An Asian Journal,CH00
Chemistry & Biodiversity,CH60
ChemistryOpen,CH00
ChemistrySelect,CH00
CHEMKON,CH00
ChemMedChem,CH60
ChemPhysChem,CH90
ChemPlusChem,CH00
"ChemSusChem Chemistry and Sustainability, Energy & Materials",CHC0
Chinese Journal of Chemistry,CH00
Chirality,CH80
Color Research & Application,CH30
Coloration Technology,CH32
Concepts in Magnetic Resonance,MDP0
Concepts in Magnetic Resonance Part B,MDP0
Drug Testing and Analysis,CH10
Electroanalysis,CH10
Environmental Toxicology & Chemistry,EN61
European Journal of Inorganic Chemistry,CH70
European Journal of Organic Chemistry,CH80
FEBS Journal,LS36
FEBS Letters,LS36
FEBS Open Bio,LS36
Flavour and Fragrance Journal,CH33
Fuel Cells,CHA1
Helvetica Chimica Acta,CH00
Heteroatom Chemistry,CH80
International Journal of Chemical Kinetics,CH96
International Journal of Quantum Chemistry,CH95
Israel Journal of Chemistry,CH00
Journal of Applied Crystallography,CH19
Journal of Applied Toxicology,CH63
Journal of Biochemical and Molecular Toxicology,CH63
Journal of Chemical Technology & Biotechnology,CG00
Journal of Chemometrics,CH12
Journal of Computational Chemistry,CHD0
Journal of Forensic Sciences,LSF0
Journal of Heterocyclic Chemistry,CH80
Journal of Labelled Compounds and  Radiopharmaceuticals,CH81
Journal of Mass Spectrometry  (Incorp Biological  Mass Spectrometry),CH16
Journal of Molecular Recognition,CHB0
Journal of Peptide Science,CHB1
Journal of Pharmaceutical Sciences,CH62
Journal of Physical Organic Chemistry,CH82
Journal of Raman Spectroscopy,CH15
"Journal of Separation Science, Jss",CH11
Journal of Synchrotron Radiation,CH19
Journal of the Chinese Chemical Society,CH00
Journal of the Science of Food and Agriculture,FO00
Limnology and Oceanography Letters,ES31
Luminescence: the Journal of Biological and  Chemical Luminescence,CH10
Lvt,CH30
Magnetic Resonance in Chemistry,CH17
Mass Spectrometry Reviews,CH16
Medicinal Research Reviews,CH60
Molecular Informatics,CHD0
Pest Management Science  (Formerly: Pesticide Science),AG50
Pharmaceutical Formulation Quality,FO00
Pharmazie in Unserer Zeit (Pharmuz),MDM2
Phytochemical Analysis,CH10
Plastics Engineering,PY00
Process Safety Progress,CG14
"Propellants, Explosives, Pyrotechnics",CH00
Protein Science,CHB4
"Proteins: Structure, Function and Bioinformatics",CHB4
Rapid Communications in Mass Spectrometry,CH16
Science News,LS00
Separation Science Plus,CH11
Spectroscopy Asia,CH15
Spectroscopy Europe,CH15
Starch / Staerke,FO25
The Chemical Record,CH00
Unternehmerbrief Bauwirtschaft,CE00
Vietnam Journal of Chemistry,CH00
Wiley Interdisciplinary Reviews - Computational,CHD0
X-Ray Spectrometry,CH15
Zaac-Journal of Inorganic and General Chemistry,CH70
"Bauregelliste A, Bauregelliste B Und Liste C",CE00
CE/Papers,CE00
ce/papers,CE00
Computer-Aided Civil and Infrastructure Engineering,CE00
Earthquake Engineering and Structural Dynamics,CE06
Environmental Progress & Sustainable Energy,CE40
Environmental Progress & Sustainable Energy,CE40
Fire and Materials,CE00
Geomechanics and Tunnelling,CE00
Geotechnik,CE00
Ground Water,ES71
Ground Water Monitoring & Remediation,ES71
Hydrological Processes,ES70
International Journal For Numerical and Analytical Methods in Geomechanics,MEA0
International Journal of Energy Research,EG40
Irrigation and Drainage,ES73
Journal AWWA,CE42
Journal of Advanced Transportation,CE90
Journal of Flood Risk Management,ES73
Journal of the American Water Resources Association,EN60
Naval Engineers Journal,CE00
Navigation,CE90
OpFlow : Practical ideas for water operators,CE42
Steel Construction - Design and Research,CE00
Structural Concrete,CE00
Structural Control and Health Monitoring Incorporating Progress in Structural Eng/Material,CE06
Bulletin of the Institute of Classical Studies,CL00
The Psychoanalytic Quarterly,PS79
Journal of Creative Behavior,PS20
Communication Theory,CO34
"Communication, Culture & Critique",CO34
Human Communication Research,CO30
Journal of Communication,CO30
Journal of Computer-Mediated Communication,CO13
Annual Review of Information Science & Technology (Electronic),CS00
Bell Labs Technical Journal,EE25
Bulletin of the American Society For Information Science & Technology (Electronic),CS00
CAAI Transactions on Intelligence Technology,CS00
Cognitive Computation and Systems,CS00
Computational Intelligence,CS00
Computer Animation and Virtual Worlds (Prev: Jnl of Visualisation & Computer Animation),CSC0
Computer Graphics Forum,CSC0
Concurrency and Computation: Practice & Experience,CS50
IBC Conference Proceedings,CS00
IET Biometrics,CS00
IET Blockchain,CS00
IET Collaborative Intelligent Manufacturing,CS00
IET Computers & Digital Techniques,CS00
IET Information Security,CS00
IET Networks,CS00
IET Software,CS00
International Journal of Network Management,EE20
Journal of Software Maintenance and Evolution: Research and Practice,CS50
Journal of the American Society For Information  Science and Technology,CS00
MLQ - Mathematical Logic Quarterly,MA70
"Software Testing, Verification & Reliability",CS50
Software:Practice and Experience,CS50
Criminology,LA70
Criminology and Public Policy,LA70
The Howard Journal of Criminal Justice,LA00
The Journal of American Culture,CU30
The Journal of Popular Culture,CU02
Australian Dental Journal,DN00
Australian Endodontic Journal,DN11
Clinical Advances in Periodontics,DN00
Clinical and Experimental Dental Research,DN00
Clinical Implant Dentistry and Related Research,DN60
Clinical Oral Implants Research,DN60
Community Dentistry and Oral Epidemiology,DN00
Dental Traumatology,DN50
Endodontic Topics,DN11
European Journal of Dental Education,DN72
European Journal of Oral Sciences,DN40
Gerodontology,DN90
International Dental Journal,DN00
International Endodontic Journal,DN11
International Journal of Dental Hygiene,DNA0
International Journal of Paediatric Dentistry,DN80
Journal of Clinical Periodontology,DN13
Journal of Esthetic and Restorative Dentistry,DN14
Journal of Investigative and Clinical Dentistry,DN11
Journal of Oral Pathology & Medicine,DN30
Journal of Oral Rehabilitation,DN10
Journal of Periodontal Research,DN13
Journal of Periodontology,DN00
Journal of Prosthodontics,DN12
Journal of Public Health Dentistry,DN72
Molecular Oral Microbiology,DN43
Oral Diseases,DN40
Oral Surgery,DN20
Orthodontics & Craniofacial Research,DNB0
Periodontology 2000,DN13
Special Care in Dentistry,DNZ0
Australasian Journal of Dermatology,MD60
British Journal of Dermatology,MD60
Clinical & Experimental Dermatology,MD60
Contact Dermatitis,MD60
Dermatologic Surgery,MD60
Dermatologic Therapy,MD60
Dermatological Reviews,MD60
Experimental Dermatology,MD60
International Journal of Cosmetic Science,MD60
International Journal of Dermatology,MD60
International Wound Journal,MD60
Journal Der Deutschen Dermatologischen Gesellschaft,MD60
Journal of Cosmetic Dermatology,MD60
Journal of Cutaneous Pathology,MD60
Journal of the European Academy of Dermatology & Venereology,MD60
Mycoses,MD60
Pediatric Dermatology,MD60
"Photodermatology, Photoimmunology & Photomedicine",MD60
Skin Health and Disease,MD60
Skin Research and Technology,MD60
The Journal of Dermatology,MD60
Design Management Journal,AA30
Design Management Review,AA30
"Africa Research Bulletin: Economic, Financial and Technical Series",DS00
African Development Review,DS00
Business Strategy and Development,DS00
Developing World Bioethics,PL22
Development and Change,DS00
Development Policy Review,DS00
Disasters,DS00
IDS Bulletin,DS00
IDS Development Bibliographies,DS00
IDS in Focus Policy Briefing,DS00
IDS Practice Papers,DS00
IDS Research Reports,DS00
IDS Working Papers,DS00
International Migration,DS00
International Migration Review,SOG0
Population and Development Review,SOG0
Public Administration & Development,DS00
Review of Development Economics,EC50
Review of Urban & Regional Development Studies,US00
The Developing Economies,EC50
Expert Systems,EE00
Acta Geologica Sinica (English Edition),ES00
Archaeological Prospection,EEC1
AWWA Water Science,ES73
Basin Research,ES10
Boreas,ES19
Chinese Journal of Geophysics,ES12
"Clean - Soil, Air, Water",CH20
Earth and Planetary Physics,ES00
Earth and Space Science,ES12
Earth Surface Processes and Landforms,ES17
Ecohydrology,ES70
Environmental Toxicology,CH63
"Eos, Transactions of the American Geophysical Union",ES10
European Journal of Soil Science,ES18
Geobiology,ES1A
"Geochemistry, Geophysics, Geosystems",ES10
Geofluids,ES10
Geological Journal,ES10
Geology Today,ES00
Geophysical Journal International,ES10
Geophysical Prospecting,ES10
Geophysical Research Letters,ES10
Geoscience Data Journal,ES00
Geostandards & Geoanalytical Research,ES13
Global Biogeochemical Cycles,ES10
Greenhouse Gases: Science and Technology,CG00
International Journal of Osteoarchaeology,AN30
Island Arc,ES10
Journal of Advances in Modeling Earth Systems,ES50
Journal of Geophysical Research,ES50
Journal of Geophysical Research: Atmospheres,ES50
Journal of Geophysical Research: Biogeosciences,ES1A
Journal of Geophysical Research: Earth Surface,ES17
Journal of Geophysical Research: Oceans,ES30
Journal of Geophysical Research: Planets,PH10
Journal of Geophysical Research: Solid Earth,ES10
Journal of Geophysical Research: Space Physics,PH10
Journal of Metamorphic Geology,ES13
Journal of Petroleum Geology,ES11
Journal of Plant Nutrition and Soil Science/ Zeitschrift Fuer Pflanzenernaehrung Und Bodenkunde,LS90
Lethaia,ES1A
Limnology and Oceanography,ES30
Limnology and Oceanography: Bulletin,ES30
Limnology and Oceanography: Fluids and Environment,ES30
Limnology and Oceanography: Methods,ES30
Meteoritics & Planetary Science,ES13
Palaeontology,ES1A
Paleoceanography,ES30
Paleoceanography and Paleoclimatology,ES30
Papers in Palaeontology,ES1A
Polar Research,ES17
Radio Science,EE40
Resource Geology,ES11
Reviews of Geophysics,PHE0
River Research and Applications,ES70
Sedimentology,ES16
Soil Use and Management,ES18
Space Weather,PH10
Space Weather Quarterly,PH10
Tectonics,ES14
Terra Nova,ES10
The Depositional Record,ES16
Water Resources Research,ES70
Wiley Interdisciplinary Reviews: Water,ES00
Wiley Interdisciplinary Reviews: Water,LS00
African Journal of Ecology,LS20
Animal Conservation,LS2K
Applied Vegetation Science,LS20
Austral Ecology,LS20
Conservation,LS2K
Conservation Biology,LS2K
Conservation Letters (Electronic),LS2K
Diversity and Distributions,LS2K
Ecography,LS20
Ecological Applications,LS20
Ecological Management & Restoration,LS20
Ecological Monographs,LS20
Ecology,LS20
Ecology and Evolution,LS20
Ecology Letters,LS20
Ecology of Freshwater Fish,LS20
Ecosphere,LS20
Ecosystem Health and Sustainability,LS20
Entomologia Experimentalis Et Applicata,LSC0
Frontiers in Ecology and the Environment,LS20
Functional Ecology,LS20
Global Ecology and Biogeography,LS20
Insect Molecular Biology,LSC0
Journal of Animal Ecology,LS24
Journal of Applied Ecology,LS2H
Journal of Ecology,LS23
Journal of Vector Ecology,LS85
Journal of Vegetation Science,LS20
Marine Ecology,LS20
Methods in Ecology and Evolution,LS21
Molecular Ecology,LS40
Molecular Ecology Resources,LS40
Oikos,LS20
Remote Sensing in Ecology and Conservation,LS2K
Restoration Ecology,LS2D
The Bulletin of the Ecological Society of America,LS20
Agribusiness: An International Journal,AG20
Agricultural Economics,AG20
Annals of Public and Cooperative Economics,EC60
Asia & the Pacific Policy Studies,EC00
Asian Economic Journal,EC00
Asian Economic Policy Review,EC00
Asian-Pacific Economic Literature,EC00
Australian Economic Papers,EC00
Australian Journal of Agricultural & Resource Economics,AG20
Bulletin of Economic Research,EC00
Canadian Journal of Agricultural Economics,AG20
Canadian Journal of Economics,EC00
China and World Economy,EC00
Contemporary Economic Policy,EC60
Econometrica,EC30
Economic Affairs,EC00
Economic Inquiry,EC00
Economic Notes,EC90
Economic Outlook,EC00
Economic Papers: A Journal of Applied Economics and Policy,EC00
Economic Policy,EC00
Economica,EC00
Economics & Politics,EC80
Eurochoices,AG20
German Economic Review,EC00
International Economic Review,EC40
International Journal of Economic Theory,EC05
Journal of Agricultural Economics,AG20
Journal of Applied Econometrics,EC30
Journal of Economic Surveys,EC00
Journal of Public Economic Theory,EC60
Journal of the European Economic Association,EC00
Kyklos International Review of Social Sciences,EC00
Managerial and Decision Economics,EC00
Metroeconomica,EC05
Oil and Energy Trends,ECD0
Oil and Energy Trends: Annual Statistical Review,ECD0
Opec Energy Review,ECD0
Oxford Bulletin of Economics & Statistics,EC00
Oxonomics,EC00
Pacific Economic Review,EC00
Perspektiven Der Wirtschaftspolitik,EC00
Quantitative Economics,EC00
Real Estate Economics,BAD0
Review of Income and Wealth,EC00
Review of International Economics,FI04
Scottish Journal of Political Economy,EC00
Southern Economic Journal,EC00
The Australian Economic Review,EC00
The Econometrics Journal,EC30
The Economic Journal,EC00
The Economic Record,EC00
The Economics of Transition,EC00
The Japanese Economic Review,EC00
The Journal of Industrial Economics,EC00
The Manchester School,EC00
The Rand Journal of Economics,EC00
The Review of Economic Studies,EC00
The Scandinavian Journal of Economics,EC00
The South African Journal of Economics,EC00
The World Economy,EC00
Theoretical Economics,EC00
World Oil Trade,ECD0
About Campus,ED20
Ashe Higher Education Report,ED20
Assessment Update,ED22
Biochemistry and Molecular Biology Education,LS36
British Educational Research Journal,ED00
British Journal of Educational Technology,ED18
British Journal of Special Education,ED70
Campus Legal Advisor,ED20
Campus Security Report,ED20
College Athletics and the Law,ED20
Curriculum Inquiry,ED60
Deafness and Education International,HED0
Dean & Provost,ED20
Department Chair,ED21
Development and Alumni Relations Report,ED20
Disability Compliance For Higher Education,ED20
Educational Measurement: Issues and Practice,ED04
Educational Philosophy and Theory,PLB0
Educational Theory,ED03
English in Education,ED80
Enrollment Management Report,ED20
European Journal of Education,ED00
Higher Education Abstracts,ED20
Higher Education FERPA Bulletin,ED20
Higher Education Quarterly,ED20
International Journal of Art & Design Education,ED66
Journal of Adolescent & Adult Literacy,ED80
Journal of Computer Assisted Learning,ED00
Journal of Educational Measurement,ED04
Journal of Legal Studies Education,LA12
Journal of Philosophy of Education,PLB0
Journal of Research in Reading,ED80
Journal of Research in Science Teaching,ED64
Journal of Research in Special Educational Needs,ED70
Literacy,ED80
New Directions For Adult & Continuing Education,ED26
New Directions For Community Colleges,ED27
New Directions For Evaluation,ST60
New Directions For Higher Education,ED20
New Directions For Institutional Research,ED04
New Directions For Student Services,ED25
New Directions For Teaching & Learning,ED23
Reading Research Quarterly,ED80
Recruiting & Retaining Adult Learners,ED20
Review of Education,ED00
School Science and Mathematics,ED64
Science Education,ED64
Strategic Enrollment Management Quarterly,ED21
Student Affairs Today,ED20
Student Aid News,ED00
Support For Learning,ED70
The Journal of Competency-Based Education,ED20
The National Teaching & Learning Forum,ED23
The Reading Teacher: A Journal of Research-Based Classroom Practice,ED80
The Successful Registrar,ED20
To Improve the Academy,ED23
Women in Higher Education,ED20
Advanced Control for Applications,EE30
Asian Journal of Control,EE30
Biosurface and Biotribology,EE00
Carbon Energy,EG00
Chinese Journal of Electronics,EE00
Climate Resilience and Sustainability,EN10
Computer Applications in Engineering Education,CS00
Electrical Engineering in Japan,EG40
Electronics & Communications in Japan,EE10
Electronics and Communications in Japan,EE10
Electronics Letters,EE00
Energy Conversion and Economics,EE00
Energy Science & Engineering,EG40
Engineering Biology,EE00
European Transactions on Electrical Power,EG40
Healthcare Technology Letters,EE00
High Voltage,EE00
Ieej Transactions on Electrical and Electronic  Engineering,EE00
"IET Circuits, Devices & Systems",EE00
IET Communications,EE00
IET Computer Vision,EE00
IET Control Theory & Applications,EE00
IET Cyber-Physical Systems: Theory & Applications,EE00
IET Cyber-Systems and Robotics,EE00
IET Electric Power Applications,EE00
IET Electrical Systems in Transportation,EE00
IET Energy Systems Integration,EE00
"IET Generation, Transmission & Distribution",EE00
IET Image Processing,EE00
IET Intelligent Transport Systems,EE00
"IET Microwaves, Antennas & Propagation",EE00
IET Nanobiotechnology,EE00
IET Nanodielectrics,EE00
IET Optoelectronics,EE00
IET Power Electronics,EE00
IET Quantum Communication,EE00
"IET Radar, Sonar & Navigation",EE00
IET Renewable Power Generation,EE00
"IET Science, Measurement & Technology",EE00
IET Signal Processing,EE00
IET Smart Cities,EE00
IET Smart Grid,EE00
IET Systems Biology,EE00
IET Wireless Sensor Systems,EE00
Incose International Symposium,EE90
INSIGHT,EE90
International Journal of Adaptive Control and Signal Processing,EE30
International Journal of Circuit Theory and Applications,EE00
International Journal of Communication Systems,EE20
"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields",EE00
International Journal of Rf and Microwave  Computer-Aided Engineering,EE20
International Journal of Robust and Nonlinear Control,EE30
International Journal of Satellite Communications and Networking,EE28
Internet Technology Letters,EE20
Journal of Engineering Education,EE00
Journal of Field Robotics  (Formerly  Journal of Robotic Systems),EE00
Journal of the Society for Information Display,EEH0
Micro & Nano Letters,EE00
